,feature_1,feature_2,feature_3,feature_4,label
0,1.5988888888888888,9.479722222222222,5.883,40.0,1
1,13.423055555555557,8.596111111111112,13.544,40.0,1
2,11.103055555555557,1.1669444444444443,1.054,37.0,1
3,22.863333333333333,8.5775,3.24,41.0,1
4,22.252222222222223,0.0827777777777777,2.522,13.0,0
5,1.323888888888889,6.655277777777778,4.56,44.0,1
6,0.5655555555555556,9.954444444444444,2.717,52.0,1
7,0.8627777777777778,5.2725,12.757,37.0,1
8,10.380277777777778,1.7994444444444444,11.256,34.0,1
9,2.3938888888888887,7.701388888888889,12.419,42.0,1
10,23.36722222222222,17.092222222222222,15.86,13.0,0
11,1.353888888888889,7.623055555555555,7.39,43.0,1
12,1.590833333333333,8.449722222222222,4.624,43.0,1
13,10.910833333333333,1.541388888888889,3.969,46.0,1
14,2.91,4.802222222222222,5.088,48.0,1
15,22.985,8.446111111111112,9.921,34.0,1
16,0.0091666666666666,6.6466666666666665,3.973,46.0,1
17,5.353055555555556,2.7583333333333333,6.208,14.0,0
18,1.6688888888888889,6.2427777777777775,4.861,42.0,1
19,2.4658333333333333,7.614444444444445,16.133,37.0,1
20,8.554722222222223,1.4230555555555555,3.4,45.0,1
21,2.290277777777778,0.9838888888888888,6.845,13.0,0
22,0.5286111111111111,7.976666666666667,4.212,43.0,1
23,23.315555555555555,4.171666666666667,10.878,42.0,1
24,7.123333333333333,0.8188888888888889,29.078,13.0,0
25,5.491111111111112,0.9105555555555556,0.901,2.0,0
26,4.409166666666667,5.661388888888889,7.433,43.0,1
27,7.256944444444445,1.1788888888888889,2.993,15.0,0
28,1.044166666666667,1.9813888888888889,0.866,39.0,1
29,3.311111111111111,5.353888888888889,6.625,35.0,1
30,16.294444444444444,1.53,45.596,15.0,0
31,1.752222222222222,0.9416666666666668,0.908,10.0,0
32,9.567222222222222,1.1866666666666668,24.486,8.0,0
33,3.725555555555556,2.8722222222222222,0.956,38.0,1
34,0.8547222222222223,7.472222222222222,11.218,41.0,1
35,0.6177777777777778,4.448611111111111,0.845,31.0,1
36,1.1419444444444444,8.035833333333333,15.042,34.0,1
37,1.5369444444444444,7.364722222222222,11.719,34.0,1
38,5.843611111111112,4.293333333333333,2.37,18.0,0
39,2.5033333333333334,4.572222222222222,8.766,41.0,1
40,1.1077777777777778,0.7316666666666667,4.792,48.0,1
41,13.6275,3.062777777777778,10.721,45.0,1
42,0.56,5.105555555555555,0.872,37.0,1
43,0.0141666666666666,2.016388888888889,2.727,43.0,1
44,9.248888888888889,0.9458333333333332,37.565,14.0,0
45,1.021388888888889,1.3497222222222225,5.263,40.0,1
46,1.3541666666666667,3.631111111111111,12.649,19.0,0
47,4.115277777777778,4.113333333333333,6.417,34.0,1
48,5.939444444444445,2.098333333333333,0.879,46.0,1
49,0.1858333333333333,10.331111111111111,15.942,31.0,1
50,0.8308333333333333,3.098055555555556,13.025,50.0,1
51,1.1180555555555556,8.070555555555556,6.061,24.0,1
52,13.672777777777778,0.8844444444444445,0.964,43.0,1
53,21.905833333333334,8.460555555555555,2.908,44.0,1
54,6.907777777777778,2.003055555555556,0.811,43.0,1
55,3.9925,0.8797222222222222,7.661,13.0,0
56,1.3391666666666666,7.6930555555555555,9.283,38.0,1
57,0.2191666666666666,7.3025,27.78,40.0,1
58,5.319444444444445,2.418055555555556,0.823,48.0,1
59,7.740555555555556,0.29,4.147,14.0,0
60,0.4113888888888889,3.205,8.413,7.0,0
61,0.0988888888888888,9.735833333333334,8.033,47.0,1
62,4.204444444444444,1.8133333333333328,0.9,17.0,0
63,3.431666666666666,4.1258333333333335,3.516,8.0,0
64,1.238611111111111,9.333055555555555,15.37,37.0,1
65,0.44,6.976111111111111,16.378,43.0,1
66,23.787777777777777,8.823055555555555,5.037,43.0,1
67,4.8325,0.9283333333333332,2.923,41.0,1
68,23.119722222222222,9.065833333333334,16.453,35.0,1
69,22.00611111111111,1.243611111111111,4.026,44.0,1
70,3.7447222222222223,1.815,0.866,38.0,1
71,7.523055555555556,0.8188888888888889,1.713,7.0,0
72,0.1902777777777777,7.252222222222223,7.964,40.0,1
73,3.5055555555555555,10.018333333333333,2.312,37.0,1
74,0.4058333333333333,4.061111111111111,14.06,1.0,0
75,0.3358333333333333,9.595555555555556,7.62,35.0,1
76,10.892777777777775,3.1152777777777776,13.125,41.0,1
77,2.460555555555556,7.219444444444444,10.487,44.0,1
78,3.868611111111111,4.288611111111111,2.201,40.0,1
79,2.4408333333333334,6.651666666666666,17.734,45.0,1
80,7.060277777777777,0.8686111111111111,32.592,8.0,0
81,6.161388888888889,0.4019444444444444,6.331,9.0,0
82,10.519722222222224,0.1836111111111111,2.319,13.0,0
83,1.15,9.45,4.467,37.0,1
84,0.6727777777777778,10.010555555555555,13.989,41.0,1
85,20.84722222222222,0.1166666666666666,0.942,16.0,0
86,12.34388888888889,1.0169444444444444,6.888,41.0,1
87,23.944444444444443,8.78,0.991,43.0,1
88,0.9702777777777778,6.303333333333334,7.713,42.0,1
89,4.223611111111111,5.848888888888889,6.9,42.0,1
90,2.2975,6.449722222222222,2.131,48.0,1
91,6.1658333333333335,0.4686111111111111,2.736,37.0,1
92,2.8180555555555555,3.713055555555556,0.729,18.0,0
93,0.6397222222222222,10.755,9.408,42.0,1
94,7.133055555555556,0.5933333333333334,3.52,37.0,1
95,10.132222222222222,1.7208333333333334,11.507,8.0,0
96,0.5875,2.2622222222222224,9.549,42.0,1
97,2.359444444444444,4.196666666666666,6.156,14.0,1
98,7.0552777777777775,1.6847222222222222,1.366,45.0,1
99,1.0052777777777775,8.160555555555556,5.787,29.0,1
100,1.028888888888889,9.0975,11.468,43.0,1
101,3.1952777777777777,6.629166666666666,6.649,43.0,1
102,5.924444444444444,0.8233333333333334,2.451,13.0,0
103,23.948888888888888,8.70888888888889,19.916,38.0,1
104,2.168333333333333,9.066944444444443,13.413,44.0,1
105,5.129444444444444,2.9391666666666665,6.422,13.0,0
106,4.025833333333333,7.911388888888889,2.377,40.0,1
